Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,PPR,PosRank
Patrick Mahomes,KAN,QB,23,16,16,383,580,5097,50,12,60,272,4.53,2,0,0,0,,0,417,417.1,1
Matt Ryan,ATL,QB,33,16,16,422,608,4924,35,7,33,125,3.79,3,1,1,5,5,1,354,355,2
Ben Roethlisberger,PIT,QB,36,16,16,452,675,5129,34,16,31,98,3.16,3,1,1,-1,-1,0,341,341.9,3
Deshaun Watson,HOU,QB,23,16,16,345,505,4165,26,9,99,551,5.57,5,0,0,0,,0,332,331.7,4
Andrew Luck,IND,QB,29,16,16,430,639,4593,39,15,46,148,3.22,0,2,1,4,4,0,327,327.9,5
Todd Gurley,LAR,RB,24,14,14,0,0,0,0,0,256,1251,4.89,17,81,59,580,9.83,4,313,372.1,1
Aaron Rodgers,GNB,QB,35,16,16,372,597,4442,25,2,43,269,6.26,2,0,0,0,,0,313,312.6,6
Jared Goff,LAR,QB,24,16,16,364,561,4688,32,12,43,108,2.51,2,0,0,0,,0,310,310.3,7
Drew Brees,NOR,QB,39,15,15,364,489,3992,32,5,31,22,0.71,4,1,1,1,1,0,304,305,8
Russell Wilson,SEA,QB,30,16,16,280,427,3448,35,7,67,376,5.61,0,1,1,-11,-11,0,298,299.4,9
Saquon Barkley,NYG,RB,21,16,16,0,0,0,0,0,261,1307,5.01,11,121,91,721,7.92,4,295,385.8,2
Dak Prescott,DAL,QB,25,16,16,356,526,3885,22,8,75,305,4.07,6,1,0,0,,0,286,285.9,10
Philip Rivers,LAC,QB,37,16,16,347,508,4308,32,12,18,7,0.39,0,0,0,0,,0,285,285,11
Cam Newton,CAR,QB,29,14,14,320,471,3395,24,13,101,488,4.83,4,0,0,0,,0,283,282.6,12
Kirk Cousins,MIN,QB,30,16,16,425,606,4298,30,10,44,123,2.8,1,1,1,-1,-1,0,282,283.1,13
Tom Brady,NWE,QB,41,16,16,375,570,4355,29,11,23,35,1.52,2,1,1,6,6,0,280,281.3,14
Christian McCaffrey,CAR,RB,22,16,16,1,1,50,1,0,219,1098,5.01,7,124,107,867,8.1,6,279,385.5,3
Alvin Kamara,NOR,RB,23,15,13,0,0,0,0,0,194,883,4.55,14,105,81,709,8.75,4,273,354.2,4
Mitchell Trubisky,CHI,QB,24,14,14,289,434,3223,24,12,68,421,6.19,3,0,0,0,,0,263,263,15
Ezekiel Elliott,DAL,RB,23,15,15,0,0,0,0,0,304,1434,4.72,6,95,77,567,7.36,3,252,329.1,5
Tyreek Hill,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17,12,247,334,1
Eli Manning,NYG,QB,37,16,16,380,576,4299,21,11,15,20,1.33,1,0,0,0,,0,240,240,17
Baker Mayfield,CLE,QB,23,14,13,310,486,3725,27,14,39,131,3.36,0,1,0,0,,0,240,240.1,16
Melvin Gordon,LAC,RB,25,12,12,0,0,0,0,0,175,885,5.06,10,66,50,490,9.8,4,226,275.5,6
James Conner,PIT,RB,23,13,12,0,0,0,0,0,215,973,4.53,12,71,55,497,9.04,1,225,280,7
Antonio Brown,PIT,WR,30,15,15,0,1,0,0,0,0,0,,0,168,104,1297,12.47,15,220,323.7,2
